Target,TAS,Rank,CumProb,AUC,n_binding,p.value
RPS6KA3,3 (1-10 uM),62,0.72,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),67,0.76,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),70,0.8,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),71,0.84,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),72,0.88,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),75,0.92,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),76,0.96,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),79,1,0.47037974683544304,36,0.03293015631451196
RPS6KA3,3 (1-10 uM),80,1,0.47037974683544304,36,0.03293015631451196
RPS6KA3,10 (>10 uM),1,0,0.5991561181434599,36,0.03293015631451196
RPS6KA3,10 (>10 uM),3,0.1111111111111111,0.5991561181434599,36,0.03293015631451196
RPS6KA3,10 (>10 uM),9,0.2222222222222222,0.5991561181434599,36,0.03293015631451196
RPS6KA3,10 (>10 uM),11,0.3333333333333333,0.5991561181434599,36,0.03293015631451196
RPS6KA3,10 (>10 uM),46,0.4444444444444444,0.5991561181434599,36,0.03293015631451196
RPS6KA3,10 (>10 uM),51,0.5555555555555556,0.5991561181434599,36,0.03293015631451196
RPS6KA3,10 (>10 uM),52,0.6666666666666666,0.5991561181434599,36,0.03293015631451196
RPS6KA3,10 (>10 uM),60,0.7777777777777778,0.5991561181434599,36,0.03293015631451196
RPS6KA3,10 (>10 uM),61,0.8888888888888888,0.5991561181434599,36,0.03293015631451196
RPS6KA3,10 (>10 uM),65,1,0.5991561181434599,36,0.03293015631451196
RPS6KA3,10 (>10 uM),80,1,0.5991561181434599,36,0.03293015631451196
SIK1,1 (<100 nM),1,0.2,0.8455696202531645,15,0.00540514172597903
SIK1,1 (<100 nM),10,0.4,0.8455696202531645,15,0.00540514172597903
SIK1,1 (<100 nM),21,0.6,0.8455696202531645,15,0.00540514172597903
SIK1,1 (<100 nM),33,0.8,0.8455696202531645,15,0.00540514172597903
SIK1,1 (<100 nM),70,1,0.8455696202531645,15,0.00540514172597903
SIK1,1 (<100 nM),80,1,0.8455696202531645,15,0.00540514172597903
SIK1,2 (100-999 nM),1,0,0.5654008438818565,15,0.00540514172597903
SIK1,2 (100-999 nM),23,0.16666666666666666,0.5654008438818565,15,0.00540514172597903
SIK1,2 (100-999 nM),29,0.3333333333333333,0.5654008438818565,15,0.00540514172597903
SIK1,2 (100-999 nM),40,0.5,0.5654008438818565,15,0.00540514172597903
SIK1,2 (100-999 nM),59,0.6666666666666666,0.5654008438818565,15,0.00540514172597903
SIK1,2 (100-999 nM),60,0.8333333333333334,0.5654008438818565,15,0.00540514172597903
